SMIELS,name
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)c1ccccc1C(=O)N2C,ZINC000066079598
CCN1c2ccccc2C(=O)N(C)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc21,ZINC000066079821
COc1cc(N2CCNCC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,ZINC000066077079
CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,ZINC000064633932
COc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,ZINC000066066277
COc1cc(C(=O)NCCN(C)C)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,ZINC000066099139
CNC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1cccc(CN(C)C)c1)c1ccccc1,ZINC000052509448
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccc(Cl)cc1C(=O)N2C,ZINC000066078252
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1cc(F)ccc1C(=O)N2C,ZINC000066079601
CS(=O)(=O)CCCOc1cccc2c1ccn2-c1ccnc(N[C@@H]2CC[C@@H](C(=O)N3CCC(O)CC3)CC2)n1,ZINC000261146269
CCOc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)c1ccccc1C(=O)N2C,ZINC000096270216
N[C@H]1CC[C@H](Cn2nc(-c3ccc(N4CCNCC4)cc3)c3cnc(NCCCc4ccccc4)nc32)CC1,ZINC000254075224
N[C@H]1CC[C@H](Cn2nc(-c3ccc(N4CCNCC4)nc3)c3cnc(NCCCc4ccccc4)nc32)CC1,ZINC000261091168
CN1CCN(Cc2ccc(-c3cn([C@@H]4CC[C@@H](O)CC4)c4nc(NCCC5CC5)ncc34)cc2)CC1,ZINC000299829706
CN1CCN(S(=O)(=O)c2ccc(-c3cn([C@@H]4CC[C@@H](O)CC4)c4nc(NCCC5CC5)ncc34)c(F)c2)CC1,ZINC000299829792
N[C@H]1CC[C@H](Cn2nc(-c3ccc(F)cc3)c3cnc(NCCCc4ccccc4)nc32)CC1,ZINC000254080532
CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccc(F)cc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,ZINC000254094473
CN(C[C@@H]1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1,ZINC000034842284
CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3cc(F)cc(F)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,ZINC000254092345
O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,ZINC000018825334
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,ZINC000001546066
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,ZINC000000602803
COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,ZINC000003948085
C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,ZINC000043154472
CC(C)(NC(=O)c1nc(-c2cccc(-c3ccc(N)nc3)c2)cnc1N)C1CCNCC1,ZINC000084633818
COc1cncc(-c2cccc(-c3cnc(N)c(C(=O)NC(C)(C)C4CCNCC4)n3)c2)c1,ZINC000084596690
COc1cc(CCNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC3CCCC3)n2)ccc1O,ZINC000095595392
COc1cccc(CCNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC3CCCC3)n2)c1,ZINC000095595926
CC(C)n1cc(-c2cccc(-c3cnc(N)c(C(=O)NC4[C@H]5CC6C[C@H]4CC(O)(C6)C5)n3)c2)cn1,ZINC000101503553
